[INFO ] 2022-09-06 12:36:06,364 PracticeLOG4J.practiceLog4jClass:19 - Maximize window size
[INFO ] 2022-09-06 12:36:07,605 PracticeLOG4J.practiceLog4jClass:17 - Open Yahoo
[INFO ] 2022-09-06 12:36:07,846 PracticeLOG4J.practiceLog4jClass:22 - enter first name
[INFO ] 2022-09-06 12:36:07,973 PracticeLOG4J.practiceLog4jClass:27 - enter last name
[INFO ] 2022-09-06 12:36:08,108 PracticeLOG4J.practiceLog4jClass:32 - enter yahoo email
[INFO ] 2022-09-06 12:36:08,264 PracticeLOG4J.practiceLog4jClass:37 - enter password
[INFO ] 2022-09-06 12:36:08,393 PracticeLOG4J.practiceLog4jClass:42 - enter birth year
[INFO ] 2022-09-06 12:36:08,908 PracticeLOG4J.practiceLog4jClass:46 - click continue
[INFO ] 2022-09-06 12:38:00,864 PracticeLOG4J.practiceLog4jClass:19 - Maximize window size
[INFO ] 2022-09-06 12:38:02,268 PracticeLOG4J.practiceLog4jClass:17 - Open Yahoo
[INFO ] 2022-09-06 12:38:02,524 PracticeLOG4J.practiceLog4jClass:22 - enter first name
[INFO ] 2022-09-06 12:38:02,723 PracticeLOG4J.practiceLog4jClass:27 - enter last name
[INFO ] 2022-09-06 12:38:02,896 PracticeLOG4J.practiceLog4jClass:32 - enter yahoo email
[INFO ] 2022-09-06 12:38:03,087 PracticeLOG4J.practiceLog4jClass:37 - enter password
[INFO ] 2022-09-06 12:38:03,233 PracticeLOG4J.practiceLog4jClass:42 - enter birth year
[INFO ] 2022-09-06 12:38:03,895 PracticeLOG4J.practiceLog4jClass:46 - click continue
[INFO ] 2022-09-06 13:44:22,777 PracticeLOG4J.practiceLog4jClass:19 - Maximize window size
[INFO ] 2022-09-06 13:44:26,084 PracticeLOG4J.practiceLog4jClass:17 - Open Yahoo
[INFO ] 2022-09-06 13:44:26,424 PracticeLOG4J.practiceLog4jClass:22 - enter first name
[INFO ] 2022-09-06 13:44:26,575 PracticeLOG4J.practiceLog4jClass:27 - enter last name
[INFO ] 2022-09-06 13:44:26,750 PracticeLOG4J.practiceLog4jClass:32 - enter yahoo email
[INFO ] 2022-09-06 13:44:26,961 PracticeLOG4J.practiceLog4jClass:37 - enter password
[INFO ] 2022-09-06 13:44:27,179 PracticeLOG4J.practiceLog4jClass:42 - enter birth year
[INFO ] 2022-09-06 13:44:28,023 PracticeLOG4J.practiceLog4jClass:46 - click continue
[INFO ] 2022-09-06 13:45:55,637 PracticeLOG4J.practiceLog4jClass:19 - Maximize window size
[INFO ] 2022-09-06 13:45:57,815 PracticeLOG4J.practiceLog4jClass:17 - Open Yahoo
[INFO ] 2022-09-06 13:45:58,014 PracticeLOG4J.practiceLog4jClass:22 - enter first name
[INFO ] 2022-09-06 13:45:58,155 PracticeLOG4J.practiceLog4jClass:27 - enter last name
[INFO ] 2022-09-06 13:45:58,291 PracticeLOG4J.practiceLog4jClass:32 - enter yahoo email
[INFO ] 2022-09-06 13:45:58,435 PracticeLOG4J.practiceLog4jClass:37 - enter password
[INFO ] 2022-09-06 13:45:58,556 PracticeLOG4J.practiceLog4jClass:42 - enter birth year
[INFO ] 2022-09-06 13:45:59,421 PracticeLOG4J.practiceLog4jClass:46 - click continue
[INFO ] 2022-09-07 09:29:43,085 PracticeLOG4J.practiceLog4jClass:19 - Maximize window size
[INFO ] 2022-09-07 09:29:44,389 PracticeLOG4J.practiceLog4jClass:17 - Open Yahoo
[INFO ] 2022-09-07 09:29:44,681 PracticeLOG4J.practiceLog4jClass:22 - enter first name
[INFO ] 2022-09-07 09:29:44,863 PracticeLOG4J.practiceLog4jClass:27 - enter last name
[INFO ] 2022-09-07 09:29:45,020 PracticeLOG4J.practiceLog4jClass:32 - enter yahoo email
[INFO ] 2022-09-07 09:29:45,212 PracticeLOG4J.practiceLog4jClass:37 - enter password
[INFO ] 2022-09-07 09:29:45,347 PracticeLOG4J.practiceLog4jClass:42 - enter birth year
[INFO ] 2022-09-07 09:29:45,985 PracticeLOG4J.practiceLog4jClass:46 - click continue
